"","Grid","effort_start","effort_end","hours","effort_hours","effort_secs"
"381","Cha_25",2017-12-02 10:55:16,2018-01-12 12:48:46,985.891666666667,985.891666666667,3549210
"382","Cha_26",2017-12-02 11:33:23,2018-01-12 09:48:26,982.250833333333,982.250833333333,3536103
"383","Cha_27",2017-12-01 19:13:29,2018-01-12 10:07:29,998.9,998.9,3596040
"384","Cha_28",2017-12-01 18:30:25,2018-01-12 09:43:05,999.211111111111,999.211111111111,3597160
"385","Cha_29",2017-12-01 12:38:28,2018-01-12 10:28:15,1005.82972222222,1005.82972222222,3620987
"386","Cha_31-36",2017-12-02 10:31:11,2018-01-12 13:23:04,986.864722222222,986.864722222222,3552713
"387","Cha_32",2017-12-01 19:00:48,2017-12-10 09:52:00,206.853333333333,998.2875,3593835
"388","Cha_32",2017-12-10 10:52:00,2018-01-12 10:18:03,791.434166666667,998.2875,3593835
"389","Cha_33",2017-12-01 17:53:24,2018-01-12 09:37:44,999.738888888889,999.738888888889,3599060
"390","Cha_34",2017-12-01 14:58:19,2018-01-12 09:54:13,1002.93166666667,1002.93166666667,3610554
