"","Species","Region.Label","Density","Density_se","Density_CV","LCI","UCI","Area","Nc","n","k","Covered_area","group_mean","group_var","group_CV","ER","ER_var","ER_CV"
"59","WILD_PIG","Gajaimata_PPC_Inside",18.5483,0.3563,0.0192,17.8629,19.2599,1,1992.7158,297,1,107.434,1,0,0,9.02721843133083e-05,0,0
"60","WILD_PIG","Kanoi_Inside",0.9725,0.2271,0.2336,0.5328,1.7749,1,550.1774,67,5,565.7503,1.22388059701493,0.00625097038552151,0.0646003202565327,3.86713471694796e-06,7.47886016870439e-13,0.22362914589096
"61","WILD_PIG","Miajlar_Inside",0.7701,0.5184,0.6731,0.1434,4.1371,1,550.1774,58,5,714.4156,1.41379310344828,0.0103051922314705,0.0718029338725841,2.65104015617369e-06,3.14574909765868e-12,0.669030218360366
"62","WILD_PIG","Miajlar_Outside",9.6209,8.2725,0.8599,0.9083,101.9034,1,3146.7466,218,4,327.0748,2.15137614678899,0.00803290464541418,0.0416600662970545,2.1764495578363e-05,3.49227762671042e-10,0.858629438888933
"63","WILD_PIG","Ramdeora_Inside",4.1582,0.75,0.1804,2.8759,6.0123,1,14512.6072,1839,25,3490.0971,1.17618270799347,0.000133404101619462,0.00981996186091848,1.72061407752733e-05,9.49246196890299e-12,0.179063043185539
"64","WILD_PIG","Rasla_Inside",2.9035,0.866,0.2982,1.519,5.5497,1,5273.652,461,11,1816.3119,1.70498915401302,0.00277222731748453,0.0308811026307522,8.28800013001913e-06,6.01923314424437e-12,0.296019849454073
"65","WILD_PIG","Rasla_Outside",4.3415,2.3976,0.5523,1.0443,18.0496,1,2791.1441,208,5,642.9029,1.99521531100478,0.00673986049206397,0.041146763911656,1.05647010481656e-05,3.38110216619307e-11,0.550391774407172
"66","WILD_PIG","RKVY_Inside",5.2037,1.1519,0.2214,3.3238,8.1468,1,23060.4859,2065,28,4431.5552,1.66440677966102,0.000722740089134402,0.0161521967580447,1.52160926102829e-05,1.11999498543683e-11,0.219940342103964
"67","WILD_PIG","Sudasri_Inside",2.8377,0.5686,0.2004,1.8868,4.2678,1,7152.3067,481,25,2520.4727,2.21621621621622,0.004692972598378,0.0309109164243133,6.23163973991545e-06,1.50785924143694e-12,0.19705073668226
"68","WILD_PIG","Sudasri_Outside",2.5998,0.7881,0.3031,1.2649,5.3436,1,2348.3183,245,7,903.2617,1.42682926829268,0.00196089143569385,0.0310352155102593,8.85710421641181e-06,7.10389494433688e-12,0.300923781277008
"69","NILGAI","Gajaimata_Inside",0.967,0.6981,0.7219,0.0609,15.3495,1,647.2832,139,3,669.4002,1.31654676258993,0.00292315412605793,0.0410666775115588,7.96791372732813e-06,3.29492721224823e-11,0.72040760603784
"70","NILGAI","Miajlar_Inside",0.2301,0.005,0.0218,0.2205,0.2401,1,24.7595,7,1,107.614,1,0,0,2.49600282975407e-06,0,0
"71","NILGAI","Ramdeora_Inside",3.4807,0.7725,0.2219,2.2149,5.47,1,14724.8082,3467,25,4230.3843,1.20074992789155,8.02453509969342e-05,0.00746031853902202,3.14477574243171e-05,4.81872978842319e-11,0.220737747265605
"72","NILGAI","Rasla_Inside",0.7367,0.4097,0.5561,0.2072,2.6192,1,643.7461,166,7,873.8238,1.09580838323353,0.000521862270697045,0.0208469887111336,7.28953552045747e-06,1.63868055597378e-11,0.555325087546942
"73","NILGAI","RKVY_Inside",0.5756,0.1394,0.2422,0.3473,0.954,1,1641.1989,431,17,2851.4824,1.07656612529002,0.000196802017295793,0.0130308895137587,5.79992310728391e-06,1.95193390549001e-12,0.240885311094395
"74","NILGAI","Sudasri_Inside",2.4441,0.9017,0.3689,1.1787,5.0679,1,9245.892,1799,31,3782.8955,1.45302946081156,0.00039812656686621,0.0137320747728265,1.82483027176551e-05,4.51025424805531e-11,0.368025605038186
"75","NILGAI","Sudasri_Outside",0.1354,0.0575,0.4245,0.0237,0.7733,1,77.8155,22,3,574.7274,1,0,0,1.46884663091316e-06,3.877297372262e-13,0.423924097201753
"76","HARE","Gajaimata_Inside",8.0653,0.075,0.0093,7.9196,8.2137,1,872.4024,49,1,108.1674,1,0,0,7.24555817710037e-06,0,0
"77","HARE","Kanoi_Inside",23.277,10.5027,0.4512,8.1202,66.7249,1,6801.1775,382,7,292.1839,1,0,0,2.09112143777189e-05,8.8986393311595e-11,0.451110097245205
"78","HARE","Miajlar_Outside",8.4415,7.7868,0.9224,4e-04,179567.3805,1,694.3611,39,2,82.2557,1,0,0,7.58351344177758e-06,4.89305381915884e-11,0.922400512157353
"79","HARE","Ramdeora_Inside",46.9511,22.3579,0.4762,18.1627,121.3699,1,62581.5158,3467,19,1332.9074,1.01384482261321,3.9391643104498e-06,0.00195762976891486,4.1603126500756e-05,3.92328603971843e-10,0.476100916067972
"80","HARE","Rasla_Inside",11.535,4.4965,0.3898,5.0414,26.3925,1,10931.7356,614,12,947.7053,1,0,0,1.03625629561563e-05,1.63079351172096e-11,0.389701704548705
"81","HARE","RKVY_Inside",1.9714,1.0973,0.5566,0.4661,8.3375,1,854.5982,48,5,433.5014,1,0,0,1.77101741076148e-06,9.71416643626822e-13,0.556518927274173
"82","HARE","Sudasri_Inside",21.5687,6.3792,0.2958,11.9399,38.9625,1,36658.703,2047,31,1699.6271,1.00586223742062,2.84842208848478e-06,0.00167789070616683,1.9263549514432e-05,3.24274673616545e-11,0.295610735429401
