Camera_id,inside_out,Cent_long,Cent_lat,Dist_to_En,Dist_to_Se,TRI_count,TRI_sum,TRI_mean,TRI_median,VALUE_0,VALUE_1,Proportion
G217,inside,70.596829999999997,26.697209999999998,-392.360577499999977,1055.111961999999949,"34",40.500000000000000,1.191180000000000,1.125000000000000,"90225","150525",0.625233645000000
G218,inside,70.601290000000006,26.699230000000000,-293.174387500000023,836.287864900000045,"22",22.125000000000000,1.005680000000000,0.812500000000000,"48825","112275",0.696927374000000
Gajai_PPC GAJ_12,inside,70.606790000000004,26.663139999999999,-479.821902399999999,2364.655540000000201,"34",30.750000000000000,0.904410000000000,0.750000000000000,"120825","120825",0.500000000000000
Gajai_PPC GAJ_13,inside,70.604410000000001,26.667130000000000,-320.952898500000003,2050.127625999999964,"34",45.250000000000000,1.330880000000000,1.250000000000000,"124875","116775",0.483240223000000
Gajai_PPC GAJ_20,inside,70.610969999999995,26.664990000000000,-313.919137499999977,2027.438941000000113,"34",34.500000000000000,1.014710000000000,0.875000000000000,"214650","27000",0.111731844000000
Gajai_PPC GAJ_21,inside,70.608680000000007,26.668720000000000,-198.968268800000004,1706.621865999999955,"26",32.125000000000000,1.235580000000000,1.125000000000000,"159075","48150",0.232356135000000
Gajai_PPC GAJ_1,inside,70.597949999999997,26.659170000000000,-142.000000000000000,3188.000000000000000,"34",30.750000000000000,0.904410000000000,0.750000000000000,"120825","120825",0.500000000000000
Gajai_PPC_GAJ_6,inside,70.602130000000002,26.661310000000000,-383.000000000000000,2770.429999999999836,"34",30.750000000000000,0.904410000000000,0.750000000000000,"120825","120825",0.500000000000000
Gajai_PPC GAJ_5,inside,70.603890000000007,26.657350000000001,-214.674573600000002,3053.481451999999990,"33",36.750000000000000,1.113640000000000,1.125000000000000,"28125","203850",0.878758487000000
Gajai_PPC GAJ_7,inside,70.600120000000004,26.665360000000000,-21.408903160000001,2469.840592999999899,"18",33.000000000000000,1.833330000000000,1.625000000000000,"53775","81000",0.601001669000000
K1010,inside,70.553830000000005,26.837019999999999,-593.684175299999993,1180.012909000000036,"33",64.875000000000000,1.965910000000000,1.875000000000000,"176850","65475",0.270194986000000
K1011,inside,70.558419999999998,26.838970000000000,-635.612108899999953,1449.034521999999924,"31",79.875000000000000,2.576610000000000,2.500000000000000,"164700","77625",0.320334262000000
K743,inside,70.550669999999997,26.801549999999999,-219.359157399999987,2395.487224999999853,"32",58.000000000000000,1.812500000000000,1.875000000000000,"47475","175275",0.786868687000000
K781,inside,70.544179999999997,26.803619999999999,-315.264221899999995,2460.836886000000050,"33",35.125000000000000,1.064390000000000,1.000000000000000,"26100","215775",0.892093023000000
K781_2,inside,70.544179999999997,26.803619999999999,-315.264221899999995,2460.836886000000050,"33",35.125000000000000,1.064390000000000,1.000000000000000,"26100","215775",0.892093023000000
